Model,Month,Sales,Color,Region,Date
Maruti Suzuki Celerio,01-09-2013,485,Black,Mumbai,01-09-2013
Maruti Suzuki Celerio,01-10-2013,650,Black,Mumbai,01-10-2013
Maruti Suzuki Celerio,01-11-2013,639,Black,Mumbai,01-11-2013
Maruti Suzuki Celerio,01-12-2013,955,Black,Mumbai,01-12-2013
Maruti Suzuki Swift,01-01-2013,896,Black,Mumbai,01-01-2013
Maruti Suzuki Swift,01-02-2013,1101,Black,Mumbai,01-02-2013
Maruti Suzuki Swift,01-03-2013,1239,Black,Mumbai,01-03-2013
Maruti Suzuki Swift,01-04-2013,1070,Black,Mumbai,01-04-2013
Maruti Suzuki Swift,01-05-2013,715,Black,Mumbai,01-05-2013
Maruti Suzuki Swift,01-06-2013,419,Black,Mumbai,01-06-2013
Maruti Suzuki Swift,01-07-2013,1164,Black,Mumbai,01-07-2013
Maruti Suzuki Swift,01-08-2013,382,Black,Mumbai,01-08-2013
Maruti Suzuki Swift,01-09-2013,659,Black,Mumbai,01-09-2013
Maruti Suzuki Swift,01-10-2013,491,Black,Mumbai,01-10-2013
Maruti Suzuki Swift,01-11-2013,627,Black,Mumbai,01-11-2013
Maruti Suzuki Swift,01-12-2013,619,Black,Mumbai,01-12-2013
Maruti Suzuki Grand Vitara,01-01-2013,889,Black,Mumbai,01-01-2013
Maruti Suzuki Grand Vitara,01-02-2013,704,Black,Mumbai,01-02-2013
Maruti Suzuki Grand Vitara,01-03-2013,487,Black,Mumbai,01-03-2013
Maruti Suzuki Grand Vitara,01-04-2013,1019,Black,Mumbai,01-04-2013
Maruti Suzuki Grand Vitara,01-05-2013,516,Black,Mumbai,01-05-2013
Maruti Suzuki Grand Vitara,01-06-2013,116,Black,Mumbai,01-06-2013
Maruti Suzuki Grand Vitara,01-07-2013,856,Black,Mumbai,01-07-2013
Maruti Suzuki Grand Vitara,01-08-2013,492,Black,Mumbai,01-08-2013
Maruti Suzuki Grand Vitara,01-09-2013,726,Black,Mumbai,01-09-2013
Maruti Suzuki Grand Vitara,01-10-2013,1006,Black,Mumbai,01-10-2013
Maruti Suzuki Grand Vitara,01-11-2013,340,Black,Mumbai,01-11-2013
Maruti Suzuki Grand Vitara,01-12-2013,318,Black,Mumbai,01-12-2013
Maruti Suzuki XL6,01-01-2013,249,Black,Mumbai,01-01-2013
Maruti Suzuki XL6,01-02-2013,713,Black,Mumbai,01-02-2013
Maruti Suzuki XL6,01-03-2013,957,Black,Mumbai,01-03-2013
Maruti Suzuki XL6,01-04-2013,600,Black,Mumbai,01-04-2013
Maruti Suzuki XL6,01-05-2013,873,Black,Mumbai,01-05-2013
Maruti Suzuki XL6,01-06-2013,686,Black,Mumbai,01-06-2013
Maruti Suzuki XL6,01-07-2013,1045,Black,Mumbai,01-07-2013
Maruti Suzuki XL6,01-08-2013,861,Black,Mumbai,01-08-2013
Maruti Suzuki XL6,01-09-2013,599,Black,Mumbai,01-09-2013
Maruti Suzuki XL6,01-10-2013,360,Black,Mumbai,01-10-2013
Maruti Suzuki XL6,01-11-2013,1000,Black,Mumbai,01-11-2013
Maruti Suzuki XL6,01-12-2013,684,Black,Mumbai,01-12-2013
Maruti Suzuki Brezza,01-01-2013,775,Black,Mumbai,01-01-2013
Maruti Suzuki Brezza,01-02-2013,436,Black,Mumbai,01-02-2013
Maruti Suzuki Brezza,01-03-2013,534,Black,Mumbai,01-03-2013
Maruti Suzuki Brezza,01-04-2013,539,Black,Mumbai,01-04-2013
Maruti Suzuki Brezza,01-05-2013,884,Black,Mumbai,01-05-2013
Maruti Suzuki Brezza,01-06-2013,621,Black,Mumbai,01-06-2013
Maruti Suzuki Brezza,01-07-2013,1394,Black,Mumbai,01-07-2013
Maruti Suzuki Brezza,01-08-2013,381,Black,Mumbai,01-08-2013
Maruti Suzuki Brezza,01-09-2013,322,Black,Mumbai,01-09-2013
Maruti Suzuki Brezza,01-10-2013,471,Black,Mumbai,01-10-2013
Maruti Suzuki Brezza,01-11-2013,721,Black,Mumbai,01-11-2013
Maruti Suzuki Brezza,01-12-2013,564,Black,Mumbai,01-12-2013
Maruti Suzuki Dzire,01-01-2013,978,Black,Mumbai,01-01-2013
Maruti Suzuki Dzire,01-02-2013,774,Black,Mumbai,01-02-2013
Maruti Suzuki Dzire,01-03-2013,528,Black,Mumbai,01-03-2013
Maruti Suzuki Dzire,01-04-2013,891,Black,Mumbai,01-04-2013
Maruti Suzuki Dzire,01-05-2013,754,Black,Mumbai,01-05-2013
Maruti Suzuki Dzire,01-06-2013,453,Black,Mumbai,01-06-2013
Maruti Suzuki Dzire,01-07-2013,865,Black,Mumbai,01-07-2013
Maruti Suzuki Dzire,01-08-2013,720,Black,Mumbai,01-08-2013
Maruti Suzuki Dzire,01-09-2013,315,Black,Mumbai,01-09-2013
Maruti Suzuki Dzire,01-10-2013,755,Black,Mumbai,01-10-2013
Maruti Suzuki Dzire,01-11-2013,886,Black,Mumbai,01-11-2013
Maruti Suzuki Dzire,01-12-2013,374,Black,Mumbai,01-12-2013
Maruti Suzuki Alto 800,01-01-2014,316,Black,Mumbai,01-01-2014
Maruti Suzuki Alto 800,01-02-2014,382,Black,Mumbai,01-02-2014
Maruti Suzuki Alto 800,01-03-2014,876,Black,Mumbai,01-03-2014
Maruti Suzuki Alto 800,01-04-2014,822,Black,Mumbai,01-04-2014
Maruti Suzuki Alto 800,01-05-2014,1179,Black,Mumbai,01-05-2014
Maruti Suzuki Alto 800,01-06-2014,727,Black,Mumbai,01-06-2014
Maruti Suzuki Alto 800,01-07-2014,469,Black,Mumbai,01-07-2014
Maruti Suzuki Alto 800,01-08-2014,710,Black,Mumbai,01-08-2014
Maruti Suzuki Alto 800,01-09-2014,698,Black,Mumbai,01-09-2014
Maruti Suzuki Alto 800,01-10-2014,399,Black,Mumbai,01-10-2014
Maruti Suzuki Alto 800,01-11-2014,807,Black,Mumbai,01-11-2014
Maruti Suzuki Alto 800,01-12-2014,381,Black,Mumbai,01-12-2014
Maruti Suzuki Alto K10,01-01-2014,372,Black,Mumbai,01-01-2014
Maruti Suzuki Alto K10,01-02-2014,410,Black,Mumbai,01-02-2014
Maruti Suzuki Alto K10,01-03-2014,536,Black,Mumbai,01-03-2014
Maruti Suzuki Alto K10,01-04-2014,792,Black,Mumbai,01-04-2014
Maruti Suzuki Alto K10,01-05-2014,1054,Black,Mumbai,01-05-2014
Maruti Suzuki Alto K10,01-06-2014,504,Black,Mumbai,01-06-2014
Maruti Suzuki Alto K10,01-07-2014,741,Black,Mumbai,01-07-2014
Maruti Suzuki Alto K10,01-08-2014,384,Black,Mumbai,01-08-2014
Maruti Suzuki Alto K10,01-09-2014,267,Black,Mumbai,01-09-2014
Maruti Suzuki Alto K10,01-10-2014,1025,Black,Mumbai,01-10-2014
Maruti Suzuki Alto K10,01-11-2014,727,Black,Mumbai,01-11-2014
Maruti Suzuki Alto K10,01-12-2014,752,Black,Mumbai,01-12-2014
Maruti Suzuki S-Presso,01-01-2014,369,Black,Mumbai,01-01-2014
Maruti Suzuki S-Presso,01-02-2014,647,Black,Mumbai,01-02-2014
Maruti Suzuki S-Presso,01-03-2014,954,Black,Mumbai,01-03-2014
Maruti Suzuki S-Presso,01-04-2014,860,Black,Mumbai,01-04-2014
Maruti Suzuki S-Presso,01-05-2014,847,Black,Mumbai,01-05-2014
Maruti Suzuki S-Presso,01-06-2014,718,Black,Mumbai,01-06-2014
Maruti Suzuki S-Presso,01-07-2014,797,Black,Mumbai,01-07-2014
Maruti Suzuki S-Presso,01-08-2014,520,Black,Mumbai,01-08-2014
Maruti Suzuki S-Presso,01-09-2014,526,Black,Mumbai,01-09-2014
Maruti Suzuki S-Presso,01-10-2014,895,Black,Mumbai,01-10-2014
Maruti Suzuki S-Presso,01-11-2014,583,Black,Mumbai,01-11-2014
Maruti Suzuki S-Presso,01-12-2014,530,Black,Mumbai,01-12-2014
Maruti Suzuki Eeco,01-01-2014,590,Black,Mumbai,01-01-2014
Maruti Suzuki Eeco,01-02-2014,983,Black,Mumbai,01-02-2014
Maruti Suzuki Eeco,01-03-2014,841,Black,Mumbai,01-03-2014
Maruti Suzuki Eeco,01-04-2014,779,Black,Mumbai,01-04-2014
Maruti Suzuki Eeco,01-05-2014,806,Black,Mumbai,01-05-2014
Maruti Suzuki Eeco,01-06-2014,637,Black,Mumbai,01-06-2014
Maruti Suzuki Eeco,01-07-2014,873,Black,Mumbai,01-07-2014
Maruti Suzuki Eeco,01-08-2014,956,Black,Mumbai,01-08-2014
Maruti Suzuki Eeco,01-09-2014,661,Black,Mumbai,01-09-2014
Maruti Suzuki Eeco,01-10-2014,821,Black,Mumbai,01-10-2014
Maruti Suzuki Eeco,01-11-2014,1067,Black,Mumbai,01-11-2014
Maruti Suzuki Eeco,01-12-2014,625,Black,Mumbai,01-12-2014
Maruti Suzuki Celerio,01-01-2014,880,Black,Mumbai,01-01-2014
Maruti Suzuki Celerio,01-02-2014,525,Black,Mumbai,01-02-2014
Maruti Suzuki Celerio,01-03-2014,1050,Black,Mumbai,01-03-2014
Maruti Suzuki Celerio,01-04-2014,779,Black,Mumbai,01-04-2014
Maruti Suzuki Celerio,01-05-2014,1395,Black,Mumbai,01-05-2014
Maruti Suzuki Celerio,01-06-2014,1263,Black,Mumbai,01-06-2014
Maruti Suzuki Celerio,01-07-2014,940,Black,Mumbai,01-07-2014
Maruti Suzuki Celerio,01-08-2014,841,Black,Mumbai,01-08-2014
Maruti Suzuki Celerio,01-09-2014,625,Black,Mumbai,01-09-2014
Maruti Suzuki Celerio,01-10-2014,519,Black,Mumbai,01-10-2014
Maruti Suzuki Celerio,01-11-2014,1063,Black,Mumbai,01-11-2014
Maruti Suzuki Celerio,01-12-2014,588,Black,Mumbai,01-12-2014
Maruti Suzuki Swift,01-01-2014,588,Black,Mumbai,01-01-2014
Maruti Suzuki Swift,01-02-2014,1114,Black,Mumbai,01-02-2014
Maruti Suzuki Swift,01-03-2014,991,Black,Mumbai,01-03-2014
Maruti Suzuki Swift,01-04-2014,693,Black,Mumbai,01-04-2014
Maruti Suzuki Swift,01-05-2014,1275,Black,Mumbai,01-05-2014
Maruti Suzuki Swift,01-06-2014,1296,Black,Mumbai,01-06-2014
Maruti Suzuki Swift,01-07-2014,678,Black,Mumbai,01-07-2014
Maruti Suzuki Swift,01-08-2014,635,Black,Mumbai,01-08-2014
Maruti Suzuki Swift,01-09-2014,1018,Black,Mumbai,01-09-2014
Maruti Suzuki Swift,01-10-2014,671,Black,Mumbai,01-10-2014
Maruti Suzuki Swift,01-11-2014,715,Black,Mumbai,01-11-2014
Maruti Suzuki Swift,01-12-2014,510,Black,Mumbai,01-12-2014
Maruti Suzuki Grand Vitara,01-01-2014,514,Black,Mumbai,01-01-2014
Maruti Suzuki Grand Vitara,01-02-2014,988,Black,Mumbai,01-02-2014
Maruti Suzuki Grand Vitara,01-03-2014,810,Black,Mumbai,01-03-2014
Maruti Suzuki Grand Vitara,01-04-2014,995,Black,Mumbai,01-04-2014
Maruti Suzuki Grand Vitara,01-05-2014,643,Black,Mumbai,01-05-2014
Maruti Suzuki Grand Vitara,01-06-2014,475,Black,Mumbai,01-06-2014
Maruti Suzuki Grand Vitara,01-07-2014,1023,Black,Mumbai,01-07-2014
Maruti Suzuki Grand Vitara,01-08-2014,849,Black,Mumbai,01-08-2014
Maruti Suzuki Grand Vitara,01-09-2014,374,Black,Mumbai,01-09-2014
Maruti Suzuki Grand Vitara,01-10-2014,848,Black,Mumbai,01-10-2014
Maruti Suzuki Grand Vitara,01-11-2014,528,Black,Mumbai,01-11-2014
Maruti Suzuki Grand Vitara,01-12-2014,487,Black,Mumbai,01-12-2014
Maruti Suzuki XL6,01-01-2014,339,Black,Mumbai,01-01-2014
Maruti Suzuki XL6,01-02-2014,613,Black,Mumbai,01-02-2014
Maruti Suzuki XL6,01-03-2014,595,Black,Mumbai,01-03-2014
Maruti Suzuki XL6,01-04-2014,978,Black,Mumbai,01-04-2014
Maruti Suzuki XL6,01-05-2014,948,Black,Mumbai,01-05-2014
Maruti Suzuki XL6,01-06-2014,800,Black,Mumbai,01-06-2014
Maruti Suzuki XL6,01-07-2014,1009,Black,Mumbai,01-07-2014
Maruti Suzuki XL6,01-08-2014,562,Black,Mumbai,01-08-2014
Maruti Suzuki XL6,01-09-2014,747,Black,Mumbai,01-09-2014
Maruti Suzuki XL6,01-10-2014,1036,Black,Mumbai,01-10-2014
Maruti Suzuki XL6,01-11-2014,519,Black,Mumbai,01-11-2014
Maruti Suzuki XL6,01-12-2014,340,Black,Mumbai,01-12-2014
Maruti Suzuki Brezza,01-01-2014,823,Black,Mumbai,01-01-2014
Maruti Suzuki Brezza,01-02-2014,359,Black,Mumbai,01-02-2014
Maruti Suzuki Brezza,01-03-2014,977,Black,Mumbai,01-03-2014
Maruti Suzuki Brezza,01-04-2014,1130,Black,Mumbai,01-04-2014
Maruti Suzuki Brezza,01-05-2014,1002,Black,Mumbai,01-05-2014
Maruti Suzuki Brezza,01-06-2014,900,Black,Mumbai,01-06-2014
Maruti Suzuki Brezza,01-07-2014,1062,Black,Mumbai,01-07-2014
Maruti Suzuki Brezza,01-08-2014,583,Black,Mumbai,01-08-2014
Maruti Suzuki Brezza,01-09-2014,859,Black,Mumbai,01-09-2014
Maruti Suzuki Brezza,01-10-2014,561,Black,Mumbai,01-10-2014
Maruti Suzuki Brezza,01-11-2014,599,Black,Mumbai,01-11-2014
Maruti Suzuki Brezza,01-12-2014,995,Black,Mumbai,01-12-2014
Maruti Suzuki Dzire,01-01-2014,846,Black,Mumbai,01-01-2014
Maruti Suzuki Dzire,01-02-2014,954,Black,Mumbai,01-02-2014
Maruti Suzuki Dzire,01-03-2014,927,Black,Mumbai,01-03-2014
Maruti Suzuki Dzire,01-04-2014,595,Black,Mumbai,01-04-2014
Maruti Suzuki Dzire,01-05-2014,793,Black,Mumbai,01-05-2014
Maruti Suzuki Dzire,01-06-2014,1206,Black,Mumbai,01-06-2014
Maruti Suzuki Dzire,01-07-2014,676,Black,Mumbai,01-07-2014
Maruti Suzuki Dzire,01-08-2014,549,Black,Mumbai,01-08-2014
Maruti Suzuki Dzire,01-09-2014,471,Black,Mumbai,01-09-2014
Maruti Suzuki Dzire,01-10-2014,1059,Black,Mumbai,01-10-2014
Maruti Suzuki Dzire,01-11-2014,612,Black,Mumbai,01-11-2014
Maruti Suzuki Dzire,01-12-2014,885,Black,Mumbai,01-12-2014
Maruti Suzuki Alto 800,01-01-2015,810,Black,Mumbai,01-01-2015
Maruti Suzuki Alto 800,01-02-2015,1041,Black,Mumbai,01-02-2015
Maruti Suzuki Alto 800,01-03-2015,718,Black,Mumbai,01-03-2015
Maruti Suzuki Alto 800,01-04-2015,948,Black,Mumbai,01-04-2015
Maruti Suzuki Alto 800,01-05-2015,1229,Black,Mumbai,01-05-2015
Maruti Suzuki Alto 800,01-06-2015,1084,Black,Mumbai,01-06-2015
Maruti Suzuki Alto 800,01-07-2015,706,Black,Mumbai,01-07-2015
Maruti Suzuki Alto 800,01-08-2015,946,Black,Mumbai,01-08-2015
Maruti Suzuki Alto 800,01-09-2015,629,Black,Mumbai,01-09-2015
Maruti Suzuki Alto 800,01-10-2015,960,Black,Mumbai,01-10-2015
Maruti Suzuki Alto 800,01-11-2015,880,Black,Mumbai,01-11-2015
Maruti Suzuki Alto 800,01-12-2015,791,Black,Mumbai,01-12-2015
Maruti Suzuki Alto K10,01-01-2015,452,Black,Mumbai,01-01-2015
Maruti Suzuki Alto K10,01-02-2015,758,Black,Mumbai,01-02-2015
Maruti Suzuki Alto K10,01-03-2015,774,Black,Mumbai,01-03-2015
Maruti Suzuki Alto K10,01-04-2015,1145,Black,Mumbai,01-04-2015
Maruti Suzuki Alto K10,01-05-2015,739,Black,Mumbai,01-05-2015
Maruti Suzuki Alto K10,01-06-2015,1140,Black,Mumbai,01-06-2015
Maruti Suzuki Alto K10,01-07-2015,922,Black,Mumbai,01-07-2015
Maruti Suzuki Alto K10,01-08-2015,1001,Black,Mumbai,01-08-2015
Maruti Suzuki Alto K10,01-09-2015,626,Black,Mumbai,01-09-2015
Maruti Suzuki Alto K10,01-10-2015,682,Black,Mumbai,01-10-2015
Maruti Suzuki Alto K10,01-11-2015,1056,Black,Mumbai,01-11-2015
Maruti Suzuki Alto K10,01-12-2015,691,Black,Mumbai,01-12-2015
Maruti Suzuki S-Presso,01-01-2015,794,Black,Mumbai,01-01-2015
Maruti Suzuki S-Presso,01-02-2015,741,Black,Mumbai,01-02-2015
Maruti Suzuki S-Presso,01-03-2015,715,Black,Mumbai,01-03-2015
Maruti Suzuki S-Presso,01-04-2015,1045,Black,Mumbai,01-04-2015
Maruti Suzuki S-Presso,01-05-2015,1448,Black,Mumbai,01-05-2015
Maruti Suzuki S-Presso,01-06-2015,962,Black,Mumbai,01-06-2015
Maruti Suzuki S-Presso,01-07-2015,905,Black,Mumbai,01-07-2015
Maruti Suzuki S-Presso,01-08-2015,614,Black,Mumbai,01-08-2015
Maruti Suzuki S-Presso,01-09-2015,762,Black,Mumbai,01-09-2015
Maruti Suzuki S-Presso,01-10-2015,818,Black,Mumbai,01-10-2015
Maruti Suzuki S-Presso,01-11-2015,1007,Black,Mumbai,01-11-2015
Maruti Suzuki S-Presso,01-12-2015,942,Black,Mumbai,01-12-2015
Maruti Suzuki Eeco,01-01-2015,531,Black,Mumbai,01-01-2015
Maruti Suzuki Eeco,01-02-2015,842,Black,Mumbai,01-02-2015
Maruti Suzuki Eeco,01-03-2015,1092,Black,Mumbai,01-03-2015
Maruti Suzuki Eeco,01-04-2015,862,Black,Mumbai,01-04-2015
Maruti Suzuki Eeco,01-05-2015,1348,Black,Mumbai,01-05-2015
Maruti Suzuki Eeco,01-06-2015,831,Black,Mumbai,01-06-2015
Maruti Suzuki Eeco,01-07-2015,981,Black,Mumbai,01-07-2015
Maruti Suzuki Eeco,01-08-2015,835,Black,Mumbai,01-08-2015
Maruti Suzuki Eeco,01-09-2015,553,Black,Mumbai,01-09-2015
Maruti Suzuki Eeco,01-10-2015,553,Black,Mumbai,01-10-2015
Maruti Suzuki Eeco,01-11-2015,1003,Black,Mumbai,01-11-2015
Maruti Suzuki Eeco,01-12-2015,712,Black,Mumbai,01-12-2015
Maruti Suzuki Celerio,01-01-2015,603,Black,Mumbai,01-01-2015
Maruti Suzuki Celerio,01-02-2015,865,Black,Mumbai,01-02-2015
Maruti Suzuki Celerio,01-03-2015,954,Black,Mumbai,01-03-2015
Maruti Suzuki Celerio,01-04-2015,978,Black,Mumbai,01-04-2015
Maruti Suzuki Celerio,01-05-2015,1211,Black,Mumbai,01-05-2015
Maruti Suzuki Celerio,01-06-2015,1293,Black,Mumbai,01-06-2015
Maruti Suzuki Celerio,01-07-2015,758,Black,Mumbai,01-07-2015
Maruti Suzuki Celerio,01-08-2015,427,Black,Mumbai,01-08-2015
Maruti Suzuki Celerio,01-09-2015,818,Black,Mumbai,01-09-2015
Maruti Suzuki Celerio,01-10-2015,957,Black,Mumbai,01-10-2015
Maruti Suzuki Celerio,01-11-2015,1000,Black,Mumbai,01-11-2015
Maruti Suzuki Celerio,01-12-2015,931,Black,Mumbai,01-12-2015
Maruti Suzuki Swift,01-01-2015,608,Black,Mumbai,01-01-2015
Maruti Suzuki Swift,01-02-2015,932,Black,Mumbai,01-02-2015
Maruti Suzuki Swift,01-03-2015,785,Black,Mumbai,01-03-2015
Maruti Suzuki Swift,01-04-2015,1326,Black,Mumbai,01-04-2015
Maruti Suzuki Swift,01-05-2015,1183,Black,Mumbai,01-05-2015
Maruti Suzuki Swift,01-06-2015,1072,Black,Mumbai,01-06-2015
Maruti Suzuki Swift,01-07-2015,735,Black,Mumbai,01-07-2015
Maruti Suzuki Swift,01-08-2015,461,Black,Mumbai,01-08-2015
Maruti Suzuki Swift,01-09-2015,283,Black,Mumbai,01-09-2015
Maruti Suzuki Swift,01-10-2015,771,Black,Mumbai,01-10-2015
Maruti Suzuki Swift,01-11-2015,1233,Black,Mumbai,01-11-2015
Maruti Suzuki Swift,01-12-2015,682,Black,Mumbai,01-12-2015
Maruti Suzuki Grand Vitara,01-01-2015,978,Black,Mumbai,01-01-2015
Maruti Suzuki Grand Vitara,01-02-2015,718,Black,Mumbai,01-02-2015
Maruti Suzuki Grand Vitara,01-03-2015,603,Black,Mumbai,01-03-2015
Maruti Suzuki Grand Vitara,01-04-2015,1255,Black,Mumbai,01-04-2015
Maruti Suzuki Grand Vitara,01-05-2015,801,Black,Mumbai,01-05-2015
Maruti Suzuki Grand Vitara,01-06-2015,1214,Black,Mumbai,01-06-2015
Maruti Suzuki Grand Vitara,01-07-2015,535,Black,Mumbai,01-07-2015
Maruti Suzuki Grand Vitara,01-08-2015,981,Black,Mumbai,01-08-2015
Maruti Suzuki Grand Vitara,01-09-2015,215,Black,Mumbai,01-09-2015
Maruti Suzuki Grand Vitara,01-10-2015,794,Black,Mumbai,01-10-2015
Maruti Suzuki Grand Vitara,01-11-2015,523,Black,Mumbai,01-11-2015
Maruti Suzuki Grand Vitara,01-12-2015,940,Black,Mumbai,01-12-2015
Maruti Suzuki XL6,01-01-2015,451,Black,Mumbai,01-01-2015
Maruti Suzuki XL6,01-02-2015,781,Black,Mumbai,01-02-2015
Maruti Suzuki XL6,01-03-2015,729,Black,Mumbai,01-03-2015
Maruti Suzuki XL6,01-04-2015,613,Black,Mumbai,01-04-2015
Maruti Suzuki XL6,01-05-2015,728,Black,Mumbai,01-05-2015
Maruti Suzuki XL6,01-06-2015,1258,Black,Mumbai,01-06-2015
Maruti Suzuki XL6,01-07-2015,863,Black,Mumbai,01-07-2015
Maruti Suzuki XL6,01-08-2015,955,Black,Mumbai,01-08-2015
Maruti Suzuki XL6,01-09-2015,887,Black,Mumbai,01-09-2015
Maruti Suzuki XL6,01-10-2015,750,Black,Mumbai,01-10-2015
Maruti Suzuki XL6,01-11-2015,681,Black,Mumbai,01-11-2015
Maruti Suzuki XL6,01-12-2015,370,Black,Mumbai,01-12-2015
Maruti Suzuki Brezza,01-01-2015,396,Black,Mumbai,01-01-2015
Maruti Suzuki Brezza,01-02-2015,526,Black,Mumbai,01-02-2015
Maruti Suzuki Brezza,01-03-2015,723,Black,Mumbai,01-03-2015
Maruti Suzuki Brezza,01-04-2015,921,Black,Mumbai,01-04-2015
Maruti Suzuki Brezza,01-05-2015,935,Black,Mumbai,01-05-2015
Maruti Suzuki Brezza,01-06-2015,1295,Black,Mumbai,01-06-2015
Maruti Suzuki Brezza,01-07-2015,1035,Black,Mumbai,01-07-2015
Maruti Suzuki Brezza,01-08-2015,908,Black,Mumbai,01-08-2015
Maruti Suzuki Brezza,01-09-2015,428,Black,Mumbai,01-09-2015
Maruti Suzuki Brezza,01-10-2015,664,Black,Mumbai,01-10-2015
Maruti Suzuki Brezza,01-11-2015,1098,Black,Mumbai,01-11-2015
Maruti Suzuki Brezza,01-12-2015,546,Black,Mumbai,01-12-2015
Maruti Suzuki Dzire,01-01-2015,552,Black,Mumbai,01-01-2015
Maruti Suzuki Dzire,01-02-2015,535,Black,Mumbai,01-02-2015
Maruti Suzuki Dzire,01-03-2015,1293,Black,Mumbai,01-03-2015
Maruti Suzuki Dzire,01-04-2015,1286,Black,Mumbai,01-04-2015
